Majority protein IDs,iBAQ C,iBAQ M,iBAQ MTBE
PGSC0003DMP400065477,4777200,6651200,7193200
PGSC0003DMP400053029,5685700,6388000,7191900
PGSC0003DMP400005169,6147400,11574000,7171600
PGSC0003DMP400052009,11290000,19109000,7119200
PGSC0003DMP400034811,11531000,14075000,7114000
PGSC0003DMP400020652,5958200,5713700,7019600
PGSC0003DMP400014394,19613000,12954000,6916400
PGSC0003DMP400000581,5705400,8220800,6916300
PGSC0003DMP400021804,3692300,7515200,6900900
PGSC0003DMP400031543,3495000,7754500,6895500
PGSC0003DMP400009293,3200400,3913000,6886900
PGSC0003DMP400050451,7783200,7916800,6754400
PGSC0003DMP400021905,5737800,6531100,6702800
PGSC0003DMP400052482,4321500,6545800,6607100
PGSC0003DMP400014922,6403400,4897400,6548400
PGSC0003DMP400044014,8052600,9417200,6516800
PGSC0003DMP400051017,5637400,4974900,6500800
PGSC0003DMP400035087,4446800,6125100,6475000
PGSC0003DMP400041767,5246500,2695000,6429300
PGSC0003DMP400048712,18566000,26556000,6405400
PGSC0003DMP400043670,5956100,9199200,6398100
PGSC0003DMP400035467,9306900,12078000,6278000
PGSC0003DMP400040116,4199000,4642900,6235000
PGSC0003DMP400047503,5944300,5309000,6207400
PGSC0003DMP400008868,3603900,7023000,6161500
PGSC0003DMP400049090,6869000,8648300,6142600
PGSC0003DMP400051502,3030300,3416800,6053300
PGSC0003DMP400039525,5905000,6383200,6047400
PGSC0003DMP400042811,11137000,2850600,6009300
PGSC0003DMP400024244,2055100,2680500,5916800
PGSC0003DMP400051034,1372400,1691100,5845600
PGSC0003DMP400035225,5749300,7605000,5825700
PGSC0003DMP400004255,2157400,4066900,5746600
PGSC0003DMP400054064,2015200,3949900,5694400
PGSC0003DMP400020579,3485300,2341400,5659700
PGSC0003DMP400036498,1582300,4438300,5652700
PGSC0003DMP400051069,6637800,6545000,5620500
PGSC0003DMP400052341,3672200,6822700,5613700
PGSC0003DMP400025263,3541500,6903000,5591100
PGSC0003DMP400041746,4824100,2836600,5564800
PGSC0003DMP400043892,6084700,9028800,5555400
PGSC0003DMP400002176,6536400,5144000,5545000
PGSC0003DMP400033182,10008000,7773600,5501400
PGSC0003DMP400048617,6476600,4459300,5467600
PGSC0003DMP400046839,2800200,3588000,5453000
PGSC0003DMP400031593,8470500,13685000,5404500
PGSC0003DMP400008070,3031500,3770100,5367600
PGSC0003DMP400001956,2314900,4619600,5311000
PGSC0003DMP400009525,2326100,883200,5301700
PGSC0003DMP400010545,4898200,4633200,5252800
PGSC0003DMP400034967,3472700,5953900,5237100
PGSC0003DMP400021853,2633400,0,5193400
PGSC0003DMP400029648,0,5580800,5185200
PGSC0003DMP400042549,8451500,13370000,5150400
PGSC0003DMP400014118,5536700,7362900,5077500
PGSC0003DMP400020262,4941700,11934000,5068600
PGSC0003DMP400052839,2969900,1589500,5049100
PGSC0003DMP400020834,3127200,2789800,5006500
PGSC0003DMP400003691,1234400,713750,4985200
PGSC0003DMP400047243,3920600,4743400,4938000
PGSC0003DMP400029263,1964600,2587300,4923900
PGSC0003DMP400018644,5136900,4535800,4920000
PGSC0003DMP400045099,3517500,222840,4902700
PGSC0003DMP400032951,5840000,4928500,4870700
PGSC0003DMP400041114,907770,13033000,4851200
PGSC0003DMP400034086,4327100,3787400,4814700
PGSC0003DMP400027000,2154100,5167800,4788300
PGSC0003DMP400052225,2565100,6945900,4770800
PGSC0003DMP400044257,4461200,3732200,4731600
PGSC0003DMP400008168,8446600,14363000,4725600
PGSC0003DMP400002610,3466900,7566800,4723800
PGSC0003DMP400014012,3435400,4803100,4710900
PGSC0003DMP400039029,2928600,3250500,4594200
PGSC0003DMP400021101,5283300,6676100,4593600
PGSC0003DMP400054525,0,0,4581300
PGSC0003DMP400038511,4573600,14585000,4550500
PGSC0003DMP400031028,3519400,4217900,4476700
PGSC0003DMP400027726,2925600,4016900,4406200
PGSC0003DMP400040343,5308000,2791000,4394000
PGSC0003DMP400037602,1430500,3085200,4381600
PGSC0003DMP400028883,4404800,2229100,4357100
PGSC0003DMP400015703,2655800,4789700,4351000
PGSC0003DMP400019877,5343900,9812800,4344800
PGSC0003DMP400045714,3947400,4056000,4291000
PGSC0003DMP400055028,1446800,0,4283900
PGSC0003DMP400052125,2517600,3296800,4256200
PGSC0003DMP400005538,5414900,6103900,4197100
PGSC0003DMP400004284,5925300,4260200,4184300
PGSC0003DMP400026742,2360000,1403400,4159300
PGSC0003DMP400027644,2210500,3840000,4124700
PGSC0003DMP400010222,3319000,5252600,4122200
PGSC0003DMP400051807,350930,400680,4112300
PGSC0003DMP400002383,3442200,5191500,4052700
PGSC0003DMP400043343,2159900,3720500,3995700
PGSC0003DMP400002988,4722000,2968800,3988200
PGSC0003DMP400039008,1808900,5304400,3950200
PGSC0003DMP400039953,5721200,9305600,3920700
PGSC0003DMP400051119,5182100,2357200,3913000
PGSC0003DMP400047193,4629100,7041000,3901900
PGSC0003DMP400042353,2519500,3105900,3889600
PGSC0003DMP400003923,2940800,3551800,3889000
PGSC0003DMP400023158,2833500,4312700,3871900
PGSC0003DMP400029000,4469600,3815800,3857600
PGSC0003DMP400009959,3386000,2687500,3845900
PGSC0003DMP400046948,3157100,4935100,3833200
PGSC0003DMP400016287,3675400,4208200,3813300
PGSC0003DMP400029970,3101600,1111700,3783700
PGSC0003DMP400054599,1956200,3159100,3733300
PGSC0003DMP400037424,1247300,3208100,3711900
PGSC0003DMP400016608,3856600,3946200,3711000
PGSC0003DMP400029281,2956700,3927800,3710300
PGSC0003DMP400004858,1831000,6156600,3708200
PGSC0003DMP400029481,2520200,4222600,3703700
PGSC0003DMP400045332,3289100,4246100,3694900
PGSC0003DMP400015495,369440,4593700,3633200
PGSC0003DMP400034883,2718300,129010,3601500
PGSC0003DMP400018261,1495600,988910,3600100
PGSC0003DMP400029942,4822500,4960800,3556500
PGSC0003DMP400046835,2627800,2829900,3550900
PGSC0003DMP400054073,1606200,2491400,3514400
PGSC0003DMP400029247,4836600,3381400,3508600
PGSC0003DMP400000877,2256200,2057800,3504200
PGSC0003DMP400033291,2976500,2919600,3501200
PGSC0003DMP400026219,2914200,3268600,3496200
PGSC0003DMP400051480,826050,1591800,3495700
PGSC0003DMP400028602,0,0,3493100
PGSC0003DMP400042349,1775000,3164700,3468000
PGSC0003DMP400041705,2606400,3832600,3454400
PGSC0003DMP400001430,930110,400570,3447100
PGSC0003DMP400055475,2297000,1532900,3446300
PGSC0003DMP400030700,3288700,0,3436400
PGSC0003DMP400027866,2036500,2661200,3435300
PGSC0003DMP400026071,4466600,1919800,3413300
PGSC0003DMP400045153,3468200,5380700,3410400
PGSC0003DMP400026781,2479800,4368200,3385500
PGSC0003DMP400034445,2929400,0,3313700
PGSC0003DMP400048826,380610,2667900,3307100
PGSC0003DMP400051745,38438000,30119000,3301400
PGSC0003DMP400033459,1623500,2897500,3273000
PGSC0003DMP400049100,3625500,186620,3246700
PGSC0003DMP400041872,1474500,1007500,3245600
PGSC0003DMP400008705,2676900,2815300,3221300
PGSC0003DMP400028711,2230600,2911000,3218500
PGSC0003DMP400049153,3980800,6605600,3218200
PGSC0003DMP400001863,1453500,1578800,3211900
PGSC0003DMP400044861,1464500,1331600,3197700
PGSC0003DMP400034880,2446400,2855200,3192500
PGSC0003DMP400040985,2333500,927730,3096600
PGSC0003DMP400009975,2738700,3582400,3094000
PGSC0003DMP400047102,637360,4026700,3090200
PGSC0003DMP400024024,2189800,5090500,3065500
PGSC0003DMP400040259,1822000,5012100,3036300
PGSC0003DMP400035476,2126900,8397900,3035100
PGSC0003DMP400032650,2413500,2163100,3034000
PGSC0003DMP400033385,3040300,0,3017700
PGSC0003DMP400037844,1569800,0,3011100
PGSC0003DMP400026707,3221500,4384000,3008000
PGSC0003DMP400048819,1788600,2100000,2952700
PGSC0003DMP400019275,1763100,1071500,2893700
PGSC0003DMP400040580,2469800,3926800,2872400
PGSC0003DMP400027688,796250,1959300,2856000
PGSC0003DMP400012804,186130,262230,2833700
PGSC0003DMP400038653,1965100,3256900,2818900
PGSC0003DMP400049762,1649100,2772700,2795700
PGSC0003DMP400015955,12360000,10711000,2768600
PGSC0003DMP400029879,1586400,3212100,2767100
PGSC0003DMP400054653,4693100,5675900,2763400
PGSC0003DMP400000789,751630,599340,2758200
PGSC0003DMP400051673,806900,1443500,2747800
PGSC0003DMP400028000,1063800,2173400,2727600
PGSC0003DMP400000352,3684300,2030000,2727400
PGSC0003DMP400035196,905490,2722000,2727300
PGSC0003DMP400001780,1865300,5921800,2707100
PGSC0003DMP400037321,1671800,893770,2704300
PGSC0003DMP400008155,1519100,3581400,2703200
PGSC0003DMP400006395,990620,3007900,2685800
PGSC0003DMP400013623,2099100,4184400,2683500
PGSC0003DMP400045782,3098100,1011600,2659300
PGSC0003DMP400046899,937090,1672100,2649600
PGSC0003DMP400038791,1111000,2078200,2640200
PGSC0003DMP400003407,1363300,1904700,2572700
PGSC0003DMP400032458,3247800,5368900,2566600
PGSC0003DMP400003503,673220,994080,2555700
PGSC0003DMP400017551,2116300,2506900,2528900
PGSC0003DMP400031892,510710,1241300,2524500
PGSC0003DMP400020007,1422500,1829700,2511900
PGSC0003DMP400025073,1838800,2001400,2506600
PGSC0003DMP400030413,1059200,573510,2447100
PGSC0003DMP400031134,268820,891360,2444900
PGSC0003DMP400008341,1638900,1806200,2433000
PGSC0003DMP400049800,396550,935210,2430300
PGSC0003DMP400040714,4033500,5277900,2411800
PGSC0003DMP400022975,2404700,2962400,2371900
PGSC0003DMP400018869,5955400,3380400,2348900
PGSC0003DMP400027394,1516800,2820400,2320900
PGSC0003DMP400025016,7514300,9871300,2312100
PGSC0003DMP400002591,2533500,3273500,2311900
PGSC0003DMP400003438,1992200,3126000,2280800
PGSC0003DMP400025049,1728700,1903000,2258800
PGSC0003DMP400004251,1934000,2815100,2247900
PGSC0003DMP400053312,1794600,2451500,2243200
PGSC0003DMP400046770,135330,123750,2230700
PGSC0003DMP400031766,696460,0,2211600
PGSC0003DMP400035482,2886900,2821400,2204300
PGSC0003DMP400026650,1182000,1457700,2200300
PGSC0003DMP400053921,1196400,1476500,2190300
PGSC0003DMP400038444,5174700,5565000,2180600
PGSC0003DMP400013765,606020,822440,2164400
PGSC0003DMP400052940,704780,1099500,2163600
PGSC0003DMP400039130,1403600,2801400,2144700
PGSC0003DMP400003613,2195700,2552300,2118300
PGSC0003DMP400020837,1492800,2182600,2116400
PGSC0003DMP400041121,344310,720480,2113400
PGSC0003DMP400020148,1332000,1918300,2106600
PGSC0003DMP400004808,1753500,1053300,2105800
PGSC0003DMP400014406,1455700,2147500,2102300
PGSC0003DMP400042548,1300800,2124400,2047400
PGSC0003DMP400049426,3921100,4907800,2021800
PGSC0003DMP400036282,681140,894820,2005500
PGSC0003DMP400035458,229990,0,2003000
PGSC0003DMP400018246,393500,2699900,1999400
PGSC0003DMP400019159,1366600,912580,1996900
PGSC0003DMP400047235,4071700,4481700,1992700
PGSC0003DMP400034927,1068600,1482200,1990500
PGSC0003DMP400040308,1643800,1832500,1980900
PGSC0003DMP400023494,2218000,3436500,1978300
PGSC0003DMP400003684,1901500,2242000,1976100
PGSC0003DMP400020040,6417800,2832700,1965200
PGSC0003DMP400042978,2129900,1276400,1962900
PGSC0003DMP400034242,1557900,4781400,1953400
PGSC0003DMP400038628,1672900,685340,1949400
PGSC0003DMP400006721,1456500,1707600,1931200
PGSC0003DMP400048199,390610,765280,1915800
PGSC0003DMP400044653,1202300,2457500,1912700
PGSC0003DMP400025062,1040900,1171500,1899900
PGSC0003DMP400052855,2109700,2918200,1894800
PGSC0003DMP400019475,1361500,1547000,1889000
PGSC0003DMP400041975,4933800,120620,1887800
PGSC0003DMP400052405,507090,1958300,1885200
PGSC0003DMP400040866,1613200,3259200,1882800
PGSC0003DMP400000171,3982200,922860,1876200
PGSC0003DMP400045339,457960,2286800,1863400
PGSC0003DMP400056312,1699900,2576000,1860500
PGSC0003DMP400019188,978800,3200500,1856900
PGSC0003DMP400007784,2072200,1578400,1844900
PGSC0003DMP400038473,0,0,1844300
PGSC0003DMP400013848,0,2979700,1844200
PGSC0003DMP400025001,1986500,3895700,1842800
PGSC0003DMP400005640,2358500,2629400,1838300
PGSC0003DMP400048567,1548000,1463400,1822300
PGSC0003DMP400013910,1635500,2368200,1820600
PGSC0003DMP400041969,731470,1045100,1815100
PGSC0003DMP400009954,868890,713850,1813000
PGSC0003DMP400030421,1431600,1345600,1805100
PGSC0003DMP400040972,2256200,2472400,1800500
PGSC0003DMP400008519,8858800,5723500,1786200
PGSC0003DMP400000783,1181700,1018700,1766700
PGSC0003DMP400046897,1557200,580750,1762800
PGSC0003DMP400033375,1093900,978510,1757600
PGSC0003DMP400055320,1670300,2588000,1754700
PGSC0003DMP400014131,1019100,1681100,1739600
PGSC0003DMP400046426,1960700,2195800,1730700
PGSC0003DMP400045833,608670,913980,1729900
PGSC0003DMP400000271,2463200,4126500,1727700
PGSC0003DMP400038497,2769600,3525700,1726300
PGSC0003DMP400012105,2118400,2460300,1717200
PGSC0003DMP400028629,5730000,5533500,1712400
